offender_url,other_url,APPROVED_VERSION_CREATED_AT,num_copied_media,num_copied_fonts,num_copied_words,agree?
https://www.canva.com/admin/template/EAFcAq_84m4,https://www.canva.com/admin/template/EAFaDuIU6ao,2023-03-08 02:16:29,9,2,1,
https://www.canva.com/admin/template/EAFcAmzvcbM,https://www.canva.com/admin/template/EAFaDjnVDL4,2023-03-08 02:18:27,9,2,1,
https://www.canva.com/admin/template/EAFcAJdjkeU,https://www.canva.com/admin/template/EAFaDnFx35I,2023-03-08 00:21:17,5,2,5,
https://www.canva.com/admin/template/EAFcAHPaMpI,https://www.canva.com/admin/template/EAFaDiIijoY,2023-03-08 00:39:31,5,2,5,
https://www.canva.com/admin/template/EAFdEethri0,https://www.canva.com/admin/template/EAE5eHBMg1Q,2023-03-13 09:47:25,3,2,7,
https://www.canva.com/admin/template/EAFb_-dyFew,https://www.canva.com/admin/template/EAFaDvBnvns,2023-03-08 00:04:26,5,2,5,
https://www.canva.com/admin/template/EAFcAF1PktQ,https://www.canva.com/admin/template/EAFaDkHvJEE,2023-03-08 01:14:45,5,2,5,
https://www.canva.com/admin/template/EAFcApE6q5Q,https://www.canva.com/admin/template/EAFaDi1Icxw,2023-03-08 03:42:28,6,2,4,
https://www.canva.com/admin/template/EAFcAVEWmPQ,https://www.canva.com/admin/template/EAFaDsrjehU,2023-03-08 03:45:41,9,2,1,
https://www.canva.com/admin/template/EAFcAHPaMpI,https://www.canva.com/admin/template/EAFaDiIijoY,2023-03-08 00:39:31,5,2,5,
https://www.canva.com/admin/template/EAFcAtGLEZE,https://www.canva.com/admin/template/EAFaDnp8zT8,2023-03-08 03:43:32,9,2,1,
https://www.canva.com/admin/template/EAFcAKM974Y,https://www.canva.com/admin/template/EAFaDp0pSfI,2023-03-08 02:14:57,6,2,4,
https://www.canva.com/admin/template/EAFcAKKVAt4,https://www.canva.com/admin/template/EAFaDsas1fw,2023-03-08 02:14:03,5,2,5,
https://www.canva.com/admin/template/EAFcALhjIj4,https://www.canva.com/admin/template/EAFaDnDZiL0,2023-03-08 02:13:33,5,2,5,
